province,district,local_level,office,ward_count,postal_code_local_level,local_level_code
कोशी,खोटाङ,साकेला गाउँपालिका,"हुलाक कार्यालय, साकेला गाउँपालिका",5,10506,11310
कोशी,खोटाङ,दिप्रुङ चुइचुम्मा गाउँपालिका,"हुलाक कार्यालय, दिप्रुङ चुइचुम्मा गाउँपालिका",7,10507,11303
कोशी,खोटाङ,खोटेहाङ गाउँपालिका,"हुलाक कार्यालय, खोटेहाङ गाउँपालिका",9,10508,11307
कोशी,खोटाङ,जन्तेढुङ्गा गाउँपालिका,"हुलाक कार्यालय, जन्तेढुङ्गा गाउँपालिका",6,10509,11305
कोशी,खोटाङ,बराहपोखरी गाउँपालिका,"हुलाक कार्यालय, बराहपोखरी गाउँपालिका",6,10510,11302
कोशी,भोजपुर,षडानन्द नगरपालिका,"हुलाक कार्यालय, षडानन्द नगरपालिका",14,10601,11008
कोशी,भोजपुर,साल्पासिलिछो गाउँपालिका,"हुलाक कार्यालय, साल्पासिलिछो गाउँपालिका",6,10602,11007
कोशी,भोजपुर,टेम्केमैयुङ गाउँपालिका,"हुलाक कार्यालय, टेम्केमैयुङ गाउँपालिका",9,10603,11009
कोशी,भोजपुर,भोजपुर नगरपालिका,"जिल्ला हुलाक कार्यालय, भोजपुर",12,10604,11003
कोशी,भोजपुर,अरुण गाउँपालिका,"हुलाक कार्यालय, अरुण गाउँपालिका",7,10605,11002
कोशी,भोजपुर,पौवा दुङ्मा गाउँपालिका,"हुलाक कार्यालय, पौवा दुङ्मा गाउँपालिका",6,10606,11005
कोशी,भोजपुर,रामप्रसाद राई गाउँपालिका,"हुलाक कार्यालय, रामप्रसाद राई गाउँपालिका",8,10607,11006
कोशी,भोजपुर,हतुवागढी गाउँपालिका,"हुलाक कार्यालय, हतुवागढी गाउँपालिका",9,10608,11004
कोशी,भोजपुर,आमचोक गाउँपालिका,"हुलाक कार्यालय, आमचोक गाउँपालिका",10,10609,11001
कोशी,धनकुटा,महालक्ष्मी नगरपालिका,"हुलाक कार्यालय, महालक्ष्मी नगरपालिका",9,10701,10705
कोशी,धनकुटा,पाख्रिबास नगरपालिका,"हुलाक कार्यालय, पाख्रिबास नगरपालिका",10,10702,10706
कोशी,धनकुटा,छथर जोरपाटी गाउँपालिका,"हुलाक कार्यालय, छथर जोरपाटी गाउँपालिका",6,10703,10702
कोशी,धनकुटा,धनकुटा नगरपालिका,"जिल्ला हुलाक कार्यालय, धनकुटा",10,10704,10703
कोशी,धनकुटा,सहिदभुमी गाउँपालिका,"हुलाक कार्यालय, सहिदभुमी गाउँपालिका",7,10705,10707
कोशी,धनकुटा,साँगुरीगढी गाउँपालिका,"हुलाक कार्यालय, साँगुरीगढी गाउँपालिका",10,10706,10707
कोशी,धनकुटा,चौविसे गाउँपालिका,"हुलाक कार्यालय, चौविसे गाउँपालिका",8,10707,10701
कोशी,तेह्रथुम,आठराई गाउँपालिका,"हुलाक कार्यालय, आठराई गाउँपालिका",7,10801,10801
कोशी,तेह्रथुम,फेदाप गाउँपालिका,"हुलाक कार्यालय, फेदाप गाउँपालिका",5,10802,10806
कोशी,तेह्रथुम,मेन्छयायेम गाउँपालिका,"हुलाक कार्यालय, मेन्छयायेम गाउँपालिका",6,10803,10804
कोशी,तेह्रथुम,म्याङ्गलुङ्ग नगरपालिका,"जिल्ला हुलाक कार्यालय, तेह्रथुम",10,10804,10805
कोशी,तेह्रथुम,लालीगुराँस नगरपालिका,"हुलाक कार्यालय, लालीगुराँस नगरपालिका",9,10805,10803
कोशी,तेह्रथुम,छथर गाउँपालिका,"हुलाक कार्यालय, छथर गाउँपालिका",6,10806,10802
कोशी,पाँचथर,याङवरक गाउँपालिका,"हुलाक कार्यालय, याङवरक गाउँपालिका",6,10901,10208
कोशी,पाँचथर,हिलिहाङ्ग गाउँपालिका,"हुलाक कार्यालय, हिलिहाङ्ग गाउँपालिका",7,10902,10203
कोशी,पाँचथर,फालेलुङ्ग गाउँपालिका,"हुलाक कार्यालय, फालेलुङ्ग गाउँपालिका",8,10903,10201
कोशी,पाँचथर,फिदिम नगरपालिका,"जिल्ला हुलाक कार्यालय, पाँचथर",14,10904,10206
कोशी,पाँचथर,फाल्गुनन्द गाउँपालिका,"हुलाक कार्यालय, फाल्गुनन्द गाउँपालिका",7,10905,10202
कोशी,पाँचथर,कुम्मायक गाउँपालिका,"हुलाक कार्यालय, कुम्मायक गाउँपालिका",5,10906,10204
कोशी,पाँचथर,तुम्बेवा गाउँपालिका,"हुलाक कार्यालय, तुम्बेवा गाउँपालिका",5,10907,10207
कोशी,पाँचथर,मिक्लाजुङ गाउँपालिका,"हुलाक कार्यालय, मिक्लाजुङ गाउँपालिका",8,10908,10205
कोशी,इलाम,माई जोगमाई गाउँपालिका,"हुलाक कार्यालय, माई जोगमाई गाउँपालिका",6,11001,10306
कोशी,इलाम,सन्दकपुर गाउँपालिका,"हुलाक कार्यालय, सन्दकपुर गाउँपालिका",5,11002,10309
कोशी,इलाम,ईलाम नगरपालिका,"जिल्ला हुलाक कार्यालय, इलाम",12,11003,10304
कोशी,इलाम,देउमाई नगरपालिका,"हुलाक कार्यालय, देउमाई नगरपालिका",9,11004,10302
कोशी,इलाम,फाकफोकथुम गाउँपालिका,"हुलाक कार्यालय, फाकफोकथुम गाउँपालिका",7,11005,10303
कोशी,इलाम,माङसेबुङ गाउापालिका,"हुलाक कार्यालय, माङसेबुङ गाउापालिका",6,11006,10307
कोशी,इलाम,चुलाचुली गाउँपालिका,"हुलाक कार्यालय, चुलाचुली गाउँपालिका",6,11007,10301
कोशी,इलाम,माई नगरपालिका,"हुलाक कार्यालय, माई नगरपालिका",10,11008,10305
कोशी,इलाम,सूर्योदय नगरपालिका,"हुलाक कार्यालय, सूर्योदय नगरपालिका",14,11009,10310
कोशी,इलाम,रोङ गाउँपालिका,"हुलाक कार्यालय, रोङ गाउँपालिका",6,11010,10308
कोशी,झापा,मेचीनगर नगरपालिका,"हुलाक कार्यालय, मेचीनगर नगरपालिका",15,11101,10414
कोशी,झापा,बुद्धशान्ति गाउँपालिका,"हुलाक कार्यालय, बुद्धशान्ति गाउँपालिका",7,11102,10405
कोशी,झापा,अर्जुनधारा नगरपालिका,"हुलाक कार्यालय, अर्जुनधारा नगरपालिका",11,11103,10401
कोशी,झापा,कन्काई नगरपालिका,"हुलाक कार्यालय, कन्काई नगरपालिका",9,11104,10413
कोशी,झापा,शिवसताक्षी नगरपालिका,"हुलाक कार्यालय, शिवसताक्षी नगरपालिका",11,11105,10415
कोशी,झापा,कमल गाउँपालिका,"हुलाक कार्यालय, कमल गाउँपालिका",7,11106,10412
कोशी,झापा,दमक नगरपालिका,"हुलाक कार्यालय, दमक नगरपालिका",10,11107,10406
कोशी,झापा,गौरादह नगरपालिका,"हुलाक कार्यालय, गौरादह नगरपालिका",9,11108,10407
कोशी,झापा,गौरिगञ्ज गाउँपालिका,"हुलाक कार्यालय, गौरिगञ्ज गाउँपालिका",6,11109,10408
कोशी,झापा,झापा गाउँपालिका,"हुलाक कार्यालय, झापा गाउँपालिका",7,11110,10410
कोशी,झापा,बाह्रदशी गाउँपालिका,"हुलाक कार्यालय, बाह्रदशी गाउँपालिका",7,11111,10402
कोशी,झापा,बिर्तामोड नगरपालिका,"हुलाक कार्यालय, बिर्तामोड नगरपालिका",10,11112,10404
कोशी,झापा,हल्दीबारी गाउँपालिका,"हुलाक कार्यालय, हल्दीबारी गाउँपालिका",5,11113,10409
कोशी,झापा,भद्रपुर नगरपालिका,"जिल्ला हुलाक कार्यालय, झापा",10,11114,10403
कोशी,झापा,कचनकवल गाउँपालिका,"हुलाक कार्यालय, कचनकवल गाउँपालिका",7,11115,10411
कोशी,मोरङ,मिक्लाजुङ्ग गाउँपालिका,"हुलाक कार्यालय, मिक्लाजुङ्ग गाउँपालिका",9,11201,10511
कोशी,मोरङ,लेटाङ नगरपालिका,"हुलाक कार्यालय, लेटाङ नगरपालिका",9,11202,10510
कोशी,मोरङ,केराबारी गाउँपालिका,"हुलाक कार्यालय, केराबारी गाउँपालिका",10,11203,10509
कोशी,मोरङ,सुन्दरहरैंचा नगरपालिका,"हुलाक कार्यालय, सुन्दरहरैंचा नगरपालिका",12,11204,10515
कोशी,मोरङ,बेलबारी नगरपालिका,"हुलाक कार्यालय, बेलबारी नगरपालिका",11,11205,10501
कोशी,मोरङ,कानेपोखरी गाउँपालिका,"हुलाक कार्यालय, कानेपोखरी गाउँपालिका",7,11206,10507
कोशी,मोरङ,पथरी शनिश्चरे नगरपालिका,"हुलाक कार्यालय, पथरी शनिश्चरे नगरपालिका",10,11207,10512
कोशी,मोरङ,उर्लाबारी नगरपालिका,"हुलाक कार्यालय, उर्लाबारी नगरपालिका",9,11208,10517
कोशी,मोरङ,रतुवामाई नगरपालिका,"हुलाक कार्यालय, रतुवामाई नगरपालिका",10,11209,10514
कोशी,मोरङ,सुनवर्षी नगरपालिका,"हुलाक कार्यालय, सुनवर्षी नगरपालिका",9,11210,10516
कोशी,मोरङ,रंगेली नगरपालिका,"हुलाक कार्यालय, रंगेली नगरपालिका",9,11211,10513
कोशी,मोरङ,ग्रामथान गाउँपालिका,"हुलाक कार्यालय, ग्रामथान गाउँपालिका",7,11212,10505
कोशी,मोरङ,बुढीगंगा गाउँपालिका,"हुलाक कार्यालय, बुढीगंगा गाउँपालिका",7,11213,10503
कोशी,मोरङ,विराटनगर महानगरपालिका,"हुलाक निर्देशनालय, मोरङ्ग",19,11214,10502
कोशी,मोरङ,कटहरी गाउँपालिका,"हुलाक कार्यालय, कटहरी गाउँपालिका",7,11215,10508
कोशी,मोरङ,धनपालथान गाउँपालिका,"हुलाक कार्यालय, धनपालथान गाउँपालिका",7,11216,10504
कोशी,मोरङ,जहदा गाउँपालिका,"हुलाक कार्यालय, जहदा गाउँपालिका",7,11217,10506
कोशी,सुनसरी,धरान उपमहानगरपालिका,"जिल्ला हुलाक कार्यालय, सुनसरी",20,11301,10605
कोशी,सुनसरी,बराहक्षेत्र नगरपालिका,"हुलाक कार्यालय, बराहक्षेत्र नगरपालिका",11,11302,10601
कोशी,सुनसरी,कोशी गाउँपालिका,"हुलाक कार्यालय, कोशी गाउँपालिका",8,11303,10611
कोशी,सुनसरी,भोक्राहा नरसिंह गाउँपालिका,"हुलाक कार्यालय, भोक्राहा नरसिंह गाउँपालिका",8,11304,10603
कोशी,सुनसरी,रामधुनी नगरपालिका,"हुलाक कार्यालय, रामधुनी नगरपालिका",9,11305,10612
कोशी,सुनसरी,ईटहरी उपमहानगरपालिका,"हुलाक कार्यालय, ईटहरी उपमहानगरपालिका",20,11306,10610
कोशी,सुनसरी,दुहबी नगरपालिका,"हुलाक कार्यालय, दुहबी नगरपालिका",12,11307,10606
कोशी,सुनसरी,गढी गाउँपालिका,"हुलाक कार्यालय, गढी गाउँपालिका",6,11308,10607
कोशी,सुनसरी,इनरुवा नगरपालिका,"हुलाक कार्यालय, इनरुवा नगरपालिका",10,11309,10609
कोशी,सुनसरी,हरिनगर गाउँपालिका,"हुलाक कार्यालय, हरिनगर गाउँपालिका",7,11310,10608
कोशी,सुनसरी,देवानगन्ज गाउँपालिका,"हुलाक कार्यालय, देवानगन्ज गाउँपालिका",7,11311,10604
कोशी,सुनसरी,बर्जु गाउँपालिका,"हुलाक कार्यालय, बर्जु गाउँपालिका",6,11312,10602
कोशी,उदयपुर,बेलका नगरपालिका,"हुलाक कार्यालय, बेलका नगरपालिका",9,11401,11401
कोशी,उदयपुर,चौदण्डीगढी नगरपालिका,"हुलाक कार्यालय, चौदण्डीगढी नगरपालिका",10,11402,11402
कोशी,उदयपुर,त्रियुगा नगरपालिका,"जिल्ला हुलाक कार्यालय, उदयपुर",16,11403,11407
कोशी,उदयपुर,रौतामाई गाउँपालिका,"हुलाक कार्यालय, रौतामाई गाउँपालिका",8,11404,11404
कोशी,उदयपुर,लिम्चुङ्बुङ गाउँपालिका,"हुलाक कार्यालय, लिम्चुङ्बुङ गाउँपालिका",5,11405,11406
कोशी,उदयपुर,ताप्ली गाउँपालिका,"हुलाक कार्यालय, ताप्ली गाउँपालिका",5,11406,11406
कोशी,उदयपुर,कटारी नगरपालिका,"हुलाक कार्यालय, कटारी नगरपालिका",14,11407,11403
कोशी,उदयपुर,उदयपुरगढी गाउँपालिका,"हुलाक कार्यालय, उदयपुरगढी गाउँपालिका",8,11408,11408
मधेश,सप्तरी,सप्तकोशी नगरपालिका,"हुलाक कार्यालय, सप्तकोशी नगरपालिका",11,20101,21514
मधेश,सप्तरी,कन्चनरुप नगरपालिका,"हुलाक कार्यालय, कन्चनरुप नगरपालिका",12,20102,21509
मधेश,सप्तरी,अग्मीसयर कृष्ण सवरन गाउँपालिका,"हुलाक कार्यालय, अग्मीसयर कृष्ण सवरन गाउँपालिका",6,20103,21501
मधेश,सप्तरी,रुपनी गाउँपालिका,"हुलाक कार्यालय, रुपनी गाउँपालिका",6,20104,21513
मधेश,सप्तरी,शम्भुनाथ नगरपालिका,"हुलाक कार्यालय, शम्भुनाथ नगरपालिका",12,20105,21515
मधेश,सप्तरी,खडक नगरपालिका,"हुलाक कार्यालय, खडक नगरपालिका",11,20106,21510
मधेश,सप्तरी,सुरुङ्गा नगरपालिका,"हुलाक कार्यालय, सुरुङ्गा नगरपालिका",11,20107,21516
मधेश,सप्तरी,बलान बिहुल गाउँपालिका,"हुलाक कार्यालय, बलान बिहुल गाउँपालिका",6,20108,21502
मधेश,सप्तरी,बोदेबरसाईन नगरपालिका,"हुलाक कार्यालय, बोदेबरसाईन नगरपालिका",10,20109,21505
मधेश,सप्तरी,डाक्नेश्वरी नगरपालिका,"हुलाक कार्यालय, डाक्नेश्वरी नगरपालिका",10,20110,21507
मधेश,सप्तरी,राजगढ गाउँपालिका,"हुलाक कार्यालय, राजगढ गाउँपालिका",6,20111,21503
मधेश,सप्तरी,बिष्णुपुर गाउँपालिका,"हुलाक कार्यालय, बिष्णुपुर गाउँपालिका",7,20112,21504
मधेश,सप्तरी,राजविराज नगरपालिका,"जिल्ला हुलाक कार्यालय, सप्तरी",16,20113,21512
मधेश,सप्तरी,महादेवा गाउँपालिका,"हुलाक कार्यालय, महादेवा गाउँपालिका",6,20114,21511
मधेश,सप्तरी,तिरहुत गाउँपालिका,"हुलाक कार्यालय, तिरहुत गाउँपालिका",5,20115,21518
मधेश,सप्तरी,हनुमाननगर कङ्कालिनी नगरपालिका,"हुलाक कार्यालय, हनुमाननगर कङ्कालिनी नगरपालिका",14,20116,21508
मधेश,सप्तरी,तिलाठी कोईलाडी गाउँपालिका,"हुलाक कार्यालय, तिलाठी कोईलाडी गाउँपालिका",8,20117,21517
मधेश,सप्तरी,छिन्नमस्ता गाउँपालिका,"हुलाक कार्यालय, छिन्नमस्ता गाउँपालिका",7,20118,21506
मधेश,सिरहा,लहान नगरपालिका,"हुलाक कार्यालय, लहान नगरपालिका",24,20201,21610
मधेश,सिरहा,धनगढीमाई नगरपालिका,"हुलाक कार्यालय, धनगढीमाई नगरपालिका",14,20202,21606
मधेश,सिरहा,गोलबजार नगरपालिका,"हुलाक कार्यालय, गोलबजार नगरपालिका",13,20203,21607
मधेश,सिरहा,मिर्चेया नगरपालिका,"हुलाक कार्यालय, मिर्चेया नगरपालिका",12,20204,21612
मधेश,सिरहा,कर्जन्हा नगरपालिका,"हुलाक कार्यालय, कर्जन्हा नगरपालिका",11,20205,21609
मधेश,सिरहा,कल्याणपुर नगरपालिका,"हुलाक कार्यालय, कल्याणपुर नगरपालिका",12,20206,21608
मधेश,सिरहा,नरहा गाउँपालिका,"हुलाक कार्यालय, नरहा गाउँपालिका",5,20207,21613
मधेश,सिरहा,विष्णुपुर गाउँपालिका,"हुलाक कार्यालय, विष्णुपुर गाउँपालिका",5,20208,21605
मधेश,सिरहा,अर्नमा गाउँपालिका,"हुलाक कार्यालय, अर्नमा गाउँपालिका",5,20209,21601
मधेश,सिरहा,सुखीपुर नगरपालिका,"हुलाक कार्यालय, सुखीपुर नगरपालिका",10,20210,21617
मधेश,सिरहा,लक्ष्मीपुर पतारी गाउँपालिका,"हुलाक कार्यालय, लक्ष्मीपुर पतारी गाउँपालिका",6,20211,21611
मधेश,सिरहा,सखुवानान्कारकट्टी गाउँपालिका,"हुलाक कार्यालय, सखुवानान्कारकट्टी गाउँपालिका",5,20212,21615
मधेश,सिरहा,भगवानपुर गाउँपालिका,"हुलाक कार्यालय, भगवानपुर गाउँपालिका",5,20213,21604
मधेश,सिरहा,नवराजपुर गाउँपालिका,"हुलाक कार्यालय, नवराजपुर गाउँपालिका",5,20214,21614
मधेश,सिरहा,बरियारपट्टी गाउँपालिका,"हुलाक कार्यालय, बरियारपट्टी गाउँपालिका",5,20215,21603
मधेश,सिरहा,औरही गाउँपालिका,"हुलाक कार्यालय, औरही गाउँपालिका",5,20216,21602
मधेश,सिरहा,सिराहा नगरपालिका,"जिल्ला हुलाक कार्यालय, सिरहा",22,20217,21616
मधेश,धनुषा,गणेशमान चारनाथ नगरपालिका,"हुलाक कार्यालय, गणेशमान चारनाथ नगरपालिका",11,20301,21707
मधेश,धनुषा,धनुषाधाम नगरपालिका,"हुलाक कार्यालय, धनुषाधाम नगरपालिका",9,20302,21706
मधेश,धनुषा,मिथिला नगरपालिका,"हुलाक कार्यालय, मिथिला नगरपालिका",11,20303,21713
मधेश,धनुषा,बटेश्वर गाउँपालिका,"हुलाक कार्यालय, बटेश्वर गाउँपालिका",5,20304,21702
मधेश,धनुषा,क्षिरेश्वरनाथ नगरपालिका,"हुलाक कार्यालय, क्षिरेश्वरनाथ नगरपालिका",10,20305,21704
मधेश,धनुषा,लक्ष्मीनिया गाउँपालिका,"हुलाक कार्यालय, लक्ष्मीनिया गाउँपालिका",7,20306,21712
मधेश,धनुषा,मिथिला बिहारी नगरपालिका,"हुलाक कार्यालय, मिथिला बिहारी नगरपालिका",10,20307,21714
मधेश,धनुषा,हंसपुर नगरपालिका,"हुलाक कार्यालय, हंसपुर नगरपालिका",9,20308,21708
मधेश,धनुषा,सबैला नगरपालिका,"हुलाक कार्यालय, सबैला नगरपालिका",13,20309,21717
मधेश,धनुषा,शहीदनगर नगरपालिका,"हुलाक कार्यालय, शहीदनगर नगरपालिका",9,20310,21718
मधेश,धनुषा,कमला नगरपालिका,"हुलाक कार्यालय, कमला नगरपालिका",9,20311,21711
मधेश,धनुषा,जनक नन्दिनी गाउँपालिका,"हुलाक कार्यालय, जनक नन्दिनी गाउँपालिका",6,20312,21709
मधेश,धनुषा,बिदेह नगरपालिका,"हुलाक कार्यालय, बिदेह नगरपालिका",9,20313,21703
मधेश,धनुषा,औरही गाउँपालिका,"हुलाक कार्यालय, औरही गाउँपालिका",6,20314,21701
मधेश,धनुषा,जनकपुरधाम उपमहानगरपालिका,"हुलाक कार्यालय, जनकपुरधाम उपमहानगरपालिका",25,20315,21710
मधेश,धनुषा,धनौजी गाउँपालिका,"हुलाक कार्यालय, धनौजी गाउँपालिका",5,20316,21705
मधेश,धनुषा,नगराइन नगरपालिका,"हुलाक कार्यालय, नगराइन नगरपालिका",9,20317,21716
मधेश,धनुषा,मुखियापट्टी मुसहरमिया गाउँपालिका,"हुलाक कार्यालय, मुखियापट्टी मुसहरमिया गाउँपालिका",6,20318,21715
मधेश,महोत्तरी,बर्दिबास नगरपालिका,"हुलाक कार्यालय, बर्दिबास नगरपालिका",14,20401,21803
मधेश,महोत्तरी,गौशाला नगरपालिका,"हुलाक कार्यालय, गौशाला नगरपालिका",12,20402,21806
मधेश,महोत्तरी,सोनमा गाउँपालिका,"हुलाक कार्यालय, सोनमा गाउँपालिका",8,20403,21815
मधेश,महोत्तरी,औरही नगरपालिका,"हुलाक कार्यालय, औरही नगरपालिका",9,20404,21801
मधेश,महोत्तरी,भँगाहा नगरपालिका,"हुलाक कार्यालय, भँगाहा नगरपालिका",9,20405,21804
मधेश,महोत्तरी,लोहरपट्टी नगरपालिका,"हुलाक कार्यालय, लोहरपट्टी नगरपालिका",9,20406,21808
मधेश,महोत्तरी,बलवा नगरपालिका,"हुलाक कार्यालय, बलवा नगरपालिका",11,20407,21802
मधेश,महोत्तरी,राम गोपालपुर नगरपालिका,"हुलाक कार्यालय, राम गोपालपुर नगरपालिका",9,20408,21813
मधेश,महोत्तरी,साम्सी गाउँपालिका,"हुलाक कार्यालय, साम्सी गाउँपालिका",7,20409,21814
मधेश,महोत्तरी,मनरा शिसवा नगरपालिका,"हुलाक कार्यालय, मनरा शिसवा नगरपालिका",10,20410,21810
मधेश,महोत्तरी,एकडारा गाउँपालिका,"हुलाक कार्यालय, एकडारा गाउँपालिका",6,20411,21805
मधेश,महोत्तरी,महोत्तरी गाउँपालिका,"हुलाक कार्यालय, महोत्तरी गाउँपालिका",6,20412,21809
मधेश,महोत्तरी,पिपरा गाउँपालिका,"हुलाक कार्यालय, पिपरा गाउँपालिका",7,20413,21812
मधेश,महोत्तरी,मटिहानी नगरपालिका,"हुलाक कार्यालय, मटिहानी नगरपालिका",9,20414,21811
मधेश,महोत्तरी,जलेश्वर नगरपालिका,"जिल्ला हुलाक कार्यालय, महोत्तरी",12,20415,21807
मधेश,सर्लाही,लालबन्दी नगरपालिका,"हुलाक कार्यालय, लालबन्दी नगरपालिका",17,20501,21917
मधेश,सर्लाही,हरिवन नगरपालिका,"हुलाक कार्यालय, हरिवन नगरपालिका",11,20502,21913
मधेश,सर्लाही,बागमती नगरपालिका,"हुलाक कार्यालय, बागमती नगरपालिका",12,20503,21901
मधेश,सर्लाही,बरहथवा नगरपालिका,"हुलाक कार्यालय, बरहथवा नगरपालिका",18,20504,21903
मधेश,सर्लाही,हरिपुर नगरपालिका,"हुलाक कार्यालय, हरिपुर नगरपालिका",9,20505,21911
मधेश,सर्लाही,ईश्वरपुर नगरपालिका,"हुलाक कार्यालय, ईश्वरपुर नगरपालिका",15,20506,21914
मधेश,सर्लाही,हरिपुर्वा नगरपालिका,"हुलाक कार्यालय, हरिपुर्वा नगरपालिका",9,20507,21911
